date,value
25/01/2021,3.69
26/01/2021,3.72
27/01/2021,3.8
28/01/2021,3.95
29/01/2021,4.28
30/01/2021,4.53
31/01/2021,4.76
01/02/2021,4.91
02/02/2021,5
03/02/2021,5.14
04/02/2021,5.35
05/02/2021,5.61
06/02/2021,5.74
07/02/2021,5.84
08/02/2021,6
09/02/2021,6.15
10/02/2021,6.27
11/02/2021,6.41
12/02/2021,6.75
13/02/2021,6.88
14/02/2021,7
15/02/2021,7.29
16/02/2021,7.54
17/02/2021,7.72
16/02/2021,0
17/02/2021,0
21/01/2021,0
22/01/2021,0
27/01/2021,0.02
04/02/2021,0.04
17/02/2021,0.05
24/01/2021,0
30/01/2021,0
13/12/2020,0.1
20/12/2020,1.02
27/12/2020,1.5
03/01/2021,2.12
10/01/2021,4.15
11/01/2021,4.4
12/01/2021,4.73
13/01/2021,5.17
14/01/2021,5.67
15/01/2021,6.24
16/01/2021,6.74
17/01/2021,7.01
18/01/2021,7.32
19/01/2021,7.85
20/01/2021,8.42
21/01/2021,9.06
22/01/2021,9.82
23/01/2021,10.61
24/01/2021,10.96
25/01/2021,11.38
26/01/2021,11.84
27/01/2021,12.29
28/01/2021,12.9
29/01/2021,13.68
30/01/2021,14.66
31/01/2021,15.18
01/02/2021,15.68
02/02/2021,16.21
03/02/2021,16.89
04/02/2021,17.59
05/02/2021,18.3
06/02/2021,19.12
07/02/2021,19.53
08/02/2021,19.98
09/02/2021,20.54
10/02/2021,21.14
11/02/2021,21.84
12/02/2021,22.62
13/02/2021,23.39
14/02/2021,23.72
15/02/2021,24.12
16/02/2021,24.68
17/02/2021,25.44
28/12/2020,0.02
29/12/2020,0.04
30/12/2020,0.07
31/12/2020,0.14
01/01/2021,0.19
03/01/2021,0.19
04/01/2021,0.19
05/01/2021,0.24
06/01/2021,0.38
07/01/2021,0.5
08/01/2021,0.6
09/01/2021,0.77
10/01/2021,0.81
11/01/2021,0.83
12/01/2021,0.9
13/01/2021,1.02
14/01/2021,1.12
15/01/2021,1.26
16/01/2021,1.35
17/01/2021,1.37
18/01/2021,1.38
19/01/2021,1.46
20/01/2021,1.54
21/01/2021,1.66
22/01/2021,1.82
23/01/2021,1.94
24/01/2021,1.96
25/01/2021,1.97
26/01/2021,2.05
27/01/2021,2.23
28/01/2021,2.38
29/01/2021,2.56
30/01/2021,2.81
31/01/2021,2.87
01/02/2021,2.91
02/02/2021,3.03
03/02/2021,3.24
04/02/2021,3.48
05/02/2021,3.75
06/02/2021,3.99
07/02/2021,4.03
08/02/2021,4.03
10/02/2021,4.39
11/02/2021,4.66
12/02/2021,4.96
13/02/2021,5.14
14/02/2021,5.16
15/02/2021,5.16
16/02/2021,5.23
17/02/2021,5.41
18/02/2021,5.73
27/12/2020,0.01
28/12/2020,0.02
29/12/2020,0.04
30/12/2020,0.07
31/12/2020,0.09
01/01/2021,0.1
02/01/2021,0.12
03/01/2021,0.15
04/01/2021,0.21
05/01/2021,0.27
06/01/2021,0.33
07/01/2021,0.42
08/01/2021,0.51
09/01/2021,0.55
10/01/2021,0.6
11/01/2021,0.69
12/01/2021,0.79
13/01/2021,0.92
14/01/2021,1.04
15/01/2021,1.16
16/01/2021,1.21
17/01/2021,1.27
